step,eval_envs/return/close_jar,eval_envs/length/close_jar,eval_envs/total_transitions/close_jar,eval_envs/return/open_drawer,eval_envs/length/open_drawer,eval_envs/total_transitions/open_drawer,eval_envs/return/sweep_to_dustpan_of_size,eval_envs/length/sweep_to_dustpan_of_size,eval_envs/total_transitions/sweep_to_dustpan_of_size,eval_envs/return/meat_off_grill,eval_envs/length/meat_off_grill,eval_envs/total_transitions/meat_off_grill,eval_envs/return/turn_tap,eval_envs/length/turn_tap,eval_envs/total_transitions/turn_tap,eval_envs/return/slide_block_to_color_target,eval_envs/length/slide_block_to_color_target,eval_envs/total_transitions/slide_block_to_color_target,eval_envs/return/put_item_in_drawer,eval_envs/length/put_item_in_drawer,eval_envs/total_transitions/put_item_in_drawer,eval_envs/return/reach_and_drag,eval_envs/length/reach_and_drag,eval_envs/total_transitions/reach_and_drag,eval_envs/return/push_buttons,eval_envs/length/push_buttons,eval_envs/total_transitions/push_buttons,eval_envs/return/stack_blocks,eval_envs/length/stack_blocks,eval_envs/total_transitions/stack_blocks
20000,12.0,23.4,585,64.0,7.96,784,0.0,25.0,1409,8.0,22.6,1974,76.0,11.16,2253,8.0,22.68,2820,0.0,15.04,3196,4.0,22.6,3761,16.0,21.84,4307,0.0,25.0,4932
30000,24.0,21.4,535,48.0,7.56,724,8.0,23.48,1311,20.0,21.92,1859,76.0,11.48,2146,4.0,23.4,2731,0.0,16.32,3139,8.0,22.4,3699,12.0,22.36,4258,0.0,24.08,4860
70000,24.0,20.56,514,84.0,5.2,644,36.0,17.88,1091,68.0,13.2,1421,48.0,16.04,1822,32.0,18.48,2284,4.0,19.48,2771,60.0,14.2,3126,12.0,22.4,3686,4.0,23.68,4278
80000,16.0,22.36,559,88.0,4.72,677,44.0,17.4,1112,84.0,9.96,1361,44.0,16.04,1762,16.0,21.0,2287,16.0,22.92,2860,52.0,16.24,3266,36.0,17.56,3705,0.0,24.52,4318
90000,20.0,21.56,539,88.0,4.96,663,52.0,15.4,1048,76.0,11.36,1332,48.0,13.04,1658,20.0,21.12,2186,12.0,22.48,2748,60.0,14.44,3109,24.0,19.92,3607,0.0,23.64,4198
100000,24.0,20.96,524,80.0,6.64,690,56.0,14.36,1049,72.0,11.96,1348,56.0,13.0,1673,32.0,18.8,2143,12.0,18.28,2600,72.0,12.16,2904,16.0,21.48,3441,0.0,24.48,4053
100000,24.0,21.04,526,60.0,10.92,799,56.0,14.2,1154,68.0,12.68,1471,52.0,13.64,1812,32.0,18.72,2280,8.0,19.4,2765,68.0,12.8,3085,24.0,19.92,3583,0.0,25.0,4208
10000,0.0,24.72,618,48.0,15.6,1008,0.0,25.0,1633,0.0,24.04,2234,40.0,15.2,2614,0.0,25.0,3239,0.0,24.96,3863,0.0,24.24,4469,8.0,23.16,5048,0.0,24.28,5655
40000,24.0,20.96,524,84.0,6.96,698,12.0,22.84,1269,36.0,18.52,1732,56.0,16.28,2139,16.0,21.16,2668,0.0,23.36,3252,16.0,22.4,3812,28.0,19.16,4291,4.0,24.56,4905
50000,12.0,23.0,575,60.0,7.12,753,32.0,18.48,1215,56.0,15.16,1594,56.0,14.16,1948,36.0,15.4,2333,0.0,19.88,2830,36.0,20.12,3333,28.0,19.04,3809,0.0,23.44,4395
60000,8.0,23.68,592,60.0,9.32,825,40.0,17.12,1253,44.0,17.36,1687,48.0,13.08,2014,28.0,17.64,2455,8.0,20.12,2958,44.0,17.64,3399,12.0,22.4,3959,0.0,25.0,4584
